name,location,price,capacity,rating,reviews,description
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about: city skylines tucked in among the trees and seasonal colors."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA, led by owner Chef Vincent Marra."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative with its industrial-meets-chic property.
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Grana provides 3 levels of event space with authentic Southern Italian cuisine in a warm and inviting setting.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,Villa Christina at Hyatt Regency is surrounded by 83 acres of landscaped gardens with captivating views of nature’s beauty.
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio is a unique wedding venue built in 1910, offering a historic and charming space for events."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,"Wahoo! Grill offers a full-service event team for weddings, receptions, and rehearsal dinners with outstanding staff."
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,The Kimpton Shane is a boutique hotel featuring stunning architecture and stylish furnishings for intimate weddings.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,The White Bull is a restaurant wedding venue specializing in Italian farm-to-table cuisine with an event space.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,FORTH Hotel Atlanta is a deluxe wedding venue in the Old Fourth Ward with an elegant ballroom and rooftop views.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,Ecco Buckhead is an elegant restaurant wedding venue in the heart of Atlanta’s Buckhead neighborhood.
Monday Night Brewing: The Garage,"Atlanta, GA",$$,300+ Guests,4.9,14,Monday Night Garage is a charming private event space with high ceilings and ample natural light.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,Emory Conference Center Hotel offers versatile and unique surroundings in a convenient location near the airport.
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,The Atlanta Botanical Garden is an urban oasis with lush lawns and verdant tropical foliage.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,"The Wimbish House is a Victorian-era home in Midtown, known for its elegant events and historic charm."
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,Historic DeKalb Courthouse features a white marble courtroom with 20-foot ceilings for elegant weddings.
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,Epicurean Hotel Atlanta is a luxe wedding venue with sleek aesthetics and outdoor event spaces.
SCAD Ivy Hall,"Atlanta, GA",$$,101-150 Guests,4.5,4,SCAD Ivy Hall is a historic wedding venue designed by renowned architect Gottfried L. Norrman.
Renaissance Atlanta Midtown Hotel,"Midtown Atlanta, GA",$$$,300+ Guests,5,2,"Renaissance Atlanta Midtown Hotel is located in the arts and music district, ideal for exploring local attractions."
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,The Marianna at Wrecking Bar Brewpub is a historic mansion with Victorian-era architecture.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Waldorf Astoria Atlanta Buckhead offers luxury and Southern charm in a prestigious neighborhood.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,Grand Hyatt Atlanta in Buckhead is an urban retreat with state-of-the-art facilities for weddings.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,1,1,"Kimpton Sylvan Hotel is a boutique venue in Buckhead, offering access to sought-after amenities."
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",,300+ Guests,5,6,Omni Atlanta Hotel at Centennial Park offers banquet and catering services in downtown Atlanta.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,42West Entertainment Group blends industrial modernity with refined elegance for special events.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,THE TROLLEY BARN is a historic 1889 structure with hardwood floors and a patio area.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Renaissance Concourse Atlanta Airport Hotel combines luxury and convenience for wedding events.
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5,7,"Swan Coach House is a historic space in Buckhead, part of Atlanta’s famed Inman family estate."
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Hotel Colee is an award-winning hotel with modern design and redevelopment accolades.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,The Westside Warehouse is a converted warehouse with cathedral ceilings in a creative district.
InterContinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,"A hotel wedding venue combining classic charm with modern luxury, designed to inspire awe and relaxation."
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A unique wedding venue with a century-long legacy in Atlanta's Druid Hills neighborhood.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5,2,A rustic event space offering a countryside setting for weddings and celebrations.
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,A luxe ceremony and reception venue offering sweeping views and outdoor spaces.
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,162,A newly renovated venue with indoor and outdoor ceremony sites and a brand new courtyard.
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,151,A contemporary wedding venue with a mezzanine level overlooking a two-story glass atrium.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,272,An enchanting three-story home situated on a stately front lawn in Historic Roswell.
Naylor Hall,"Roswell, GA",,201-250 Guests,5,173,A grand old dame brought into the 21st century with a complete makeover.
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,"An event venue offering spaces for weddings, graduations, and other celebrations."
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,99,A wedding venue with exposed white brick walls and separate event spaces.
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,A historic venue with a rich Southern history and natural surroundings.
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,A serene wedding venue with indoor and outdoor spaces and lush gardens.
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,A beautifully restored historic mansion with landscaped grounds.
Olde Towne Special Events,"Atlanta, GA",$$,251-300 Guests,5,66,A full-service events facility with a backdrop of style for weddings.
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,A versatile venue accommodating both intimate and large-scale celebrations.
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,199,A waterfront wedding venue offering discounts for off-season weddings.
